	File_Name	Total_Kernels	Percent_Transmission	R-Squared	P-Value	Slope	slope2	intercept2	r_value2	p_value2	slope3	intercept3	r_value3	p_value3	slope4	intercept4	r_value4	p_value4	slope5	intercept5	r_value5	p_value5
0	X440-1x402	455	40.613186813186815	0.7227151653455564	2.927978638112435e-128	-0.0001048646852733796	0.00010563067767249131	0.44098293128071464	0.28319322344227643	1.2410881457291253e-34	5.926985503729464e-06	0.48208530457006316	0.00761250864182571	0.06295239146985415	2.1373937504843583e-05	0.44105128540069877	0.0010407507516517157	0.00011710967334649998	5.4273894738346944e-05	0.4660787032498883	0.26524863156754125	3.467536312740045e-32
1	X402x467B-3m1	415	1.5734939759036144	0.1313054714085744	2.534811692268497e-14	0.0002575533460486316	0.000666568167877754	-0.06833729567097824	0.48948055573355803	2.833264491375132e-62	-0.0008785504336185318	1.4134031779291072	0.7456711275485631	7.43493671744128e-125	0.0003099018146163248	-0.07448630642973234	0.04234507503116169	1.8660463390250827e-22	7.722780755127532e-05	0.5694720688775169	0.006404848076484603	0.10351729252063084
2	X402x441-2m3	494	71.7914979757085	0.7326268893963613	4.942382982463923e-143	7.5899013218339e-05	5.970517134227806e-05	0.473240546443534	0.29993044235759103	5.247247911479253e-40	-7.612239119511414e-05	0.5620965365683739	0.6320341418363303	6.9744059884415005e-109	-2.45740357843946e-05	0.5510328418081835	0.003517260885442589	4.211671678018486e-08	7.184986127298145e-05	0.42217228413446717	0.2774779185065508	1.2859951019197298e-36
3	X402x439-1m2	653	46.42879019908116	0.08140116549039386	1.0713664315156981e-13	-2.7739725831528317e-05	2.304267208135829e-05	0.46187382674011596	0.10673731294264303	1.0450897647551256e-17	-3.700334184799459e-05	0.5488481019962197	0.35007947125706484	6.422238021198158e-63	-1.7096210871147461e-06	0.4932038032688904	6.921859205449433e-07	0.4618421140364545	-1.6086645441862446e-06	0.4898887439020558	0.0004851257076021001	0.5742330640151736
4	X402x517-4m1	692	71.79335260115607	0.07545226903782111	1.9132254337564525e-13	-2.0276698962336235e-05	5.846134024964255e-05	0.43283428962740456	0.24716812813264644	1.75703294483251e-44	-4.60808628017572e-05	0.5252209264386556	0.3798512362479124	1.2665201921093069e-73	-5.3181651440618935e-06	0.5317144637074245	8.775028326875241e-05	0.010852282317451289	2.3429116285951844e-05	0.5022811709513864	0.17960922604364976	1.5471689991561777e-31
5	X402x4-1m3	651	66.605222734255	0.7025741559051213	4.824045867952398e-173	-6.741658134531385e-05	-5.4017215964530386e-05	0.5460339285263414	0.1816219951588542	4.1368202083960735e-30	-1.096236108148346e-05	0.5271410885552943	0.022207024223350698	0.00013550755878187232	-1.9400356394092302e-05	0.5511070876209462	0.006696075824755806	1.0014310320249322e-13	-5.394538759818766e-06	0.5252693328991418	0.004936538945228093	0.07322190519584242
6	X400x485L-3m1	481	47.482328482328484	0.01658604138467888	0.004670015471996681	3.374737934593553e-05	1.182861920597685e-05	0.46155186875656895	0.007436907358175976	0.058766354736697064	-4.551362813927451e-05	0.5210827733600958	0.3338621200230697	3.4800705216188253e-44	-6.008775058931343e-05	0.6204887815807654	0.0061367888371152875	4.1636467092027417e-10	5.721207288608491e-05	0.41081388137816754	0.4017855622491526	2.0674718612673996e-55
7	X479A-1x402	430	44.27906976744186	0.09757658561607199	3.469130508475339e-11	-4.2745986655012525e-05	2.817253666315102e-05	0.5004941858653544	0.0666233980507058	5.6646955591146914e-08	-0.00022005589300784492	0.7537463810952878	0.8673132946904273	7.976051575336099e-190	2.470050010632687e-05	0.4616685914262429	0.0004237750904380634	0.0028637616384632365	3.531243528627399e-06	0.5576964049947413	0.0009726286524412722	0.5189390350174503
8	X400x552AL-11m2	469	33.73560767590618	0.5465058458913009	3.213490344783336e-82	0.00016134515109344602	0.00011323929114816125	0.36065439687051304	0.32502494004195875	8.86895717404078e-42	9.531562615729961e-05	0.3744551899880371	0.47768583742028253	7.3037682849824465e-68	0.00015690353565103317	0.3744499656667075	0.29137524884984106	9.999512370491768e-81	1.7089778149981004e-05	0.49160367503126734	0.027634678290076268	0.0002995675465567187
9	X402x489-3m3	512	72.857421875	0.30328935348516617	6.073796808573547e-42	-6.516034598697104e-05	-9.221487581804959e-05	0.5653914885184219	0.5313500849136215	5.634885947676962e-86	-4.647595531804935e-06	0.5328947305941177	0.007242862839376307	0.05429287840726472	8.98135835890126e-08	0.49627639834681614	2.0441429290606788e-12	0.9784678445889028	-7.223542534950365e-05	0.513332615395711	0.5184011015303236	5.951456900121676e-83
