	File_Name	Total_Kernels	Percent_Transmission	R-Squared	P-Value	Slope
537	X403x432-5m1	607	69.10543657331137	0.42418462942766944	1.520e-74	-0.0001
538	X451A-1x402	219	40.182648401826484	0.9585314584280924	5.818e-152	0.00061
539	X400x539-4m3	571	15.726795096322242	0.32781303603174794	4.850e-51	-0.00013
540	X402x478A-5m2	568	60.67429577464789	0.08350595994627501	2.183e-12	4e-05
541	X494-2x402	585	52.02735042735043	0.26666898643511494	3.458e-41	-7e-05
542	X403x498-4m1	513	57.92982456140351	0.08776473454458268	7.495e-12	4e-05
543	X488-1x402T	659	62.39605462822458	0.0016520358466031299	2.975e-01	0.0
544	X401x445-1m1	618	47.64724919093851	0.10908209525731848	3.408e-17	3e-05
545	X552AL-5x402	636	65.39779874213836	0.8671104869762912	4.766e-280	0.00012
546	X402x457-1m3	699	52.79399141630901	0.05549992095000284	2.857e-10	2e-05
547	X402x451A-1m1	673	50.655274888558694	0.19455149933930016	2.075e-33	3e-05
548	X402x447-3m1	670	66.35522388059701	0.00018927860781964553	7.222e-01	-0.0
549	X400x575-2m1	462	27.603896103896105	0.6266431707926291	1.819e-100	-0.00024
550	X402x486-2m2	572	56.85664335664335	0.7796945451532932	2.187e-189	-0.00013
551	X433-2x402	363	89.52066115702479	0.5910383684154232	4.415e-72	0.0001
552	X445-1x402	541	48.94639556377079	0.17435207673875322	3.074e-24	4e-05
553	X570AL-4x400	623	58.325842696629216	0.367239842769806	1.015e-63	0.0001
554	X469A-2x402	506	45.533596837944664	0.5020049087511892	2.512e-78	-7e-05
555	X402x486-2m3	650	59.35076923076923	4.958047221077371e-07	9.857e-01	0.0
556	X456L-3x402	157	43.81528662420382	0.766480984208819	8.090e-51	-0.00023
557	X401x524-1m3	577	49.01386481802427	0.006864859153628187	4.666e-02	-1e-05
558	X401x491L-2m1	565	35.948672566371684	0.29892254767481985	2.345e-45	-0.0001
559	X403x529A-2m1	604	65.92880794701986	0.006345455796982095	5.037e-02	1e-05
560	X401x552AL-3m3	133	7.43609022556391	0.5954935441909971	1.609e-27	-0.00014
561	X403x415-3m1	622	42.18006430868167	0.804672023427518	4.893e-222	-0.00014
562	X401x552AL-1m1	468	9.504273504273504	0.28209224706444985	2.014e-35	3e-05
563	X415L-1x402	498	41.93172690763052	0.36940036858904135	1.281e-51	-6e-05
564	X402x478A-5m3	508	72.53740157480316	0.26152095010959847	3.373e-35	4e-05
565	X4-4x400L	486	41.04526748971193	0.8133152742557159	1.630e-178	-0.00018
566	X401x505A-2m1	560	60.035714285714285	0.4642337917290071	1.198e-77	-6e-05
567	X401x418-3m1	357	37.53221288515406	0.08976361783936991	7.732e-09	-4e-05
568	X400x532-1m2	482	42.531120331950206	0.47501568203624606	3.605e-69	8e-05
569	X3-6_tillerx402	589	54.34974533106961	0.13583587241188563	2.174e-20	2e-05
570	X403x441-3m1	635	44.75748031496063	0.5074880072224415	1.984e-99	7e-05
571	X426-1x402	457	53.905908096280086	0.38599210771589854	3.868e-50	-6e-05
572	X400x417-3m1	603	43.2636815920398	0.7565242129762068	1.595e-186	0.00023
573	X402x535A-2m1	605	61.63636363636363	0.08628943203031392	1.660e-13	-4e-05
574	X450-2x402	375	58.62133333333333	0.09109892364163842	2.446e-09	3e-05
575	X432-1x402	277	44.978339350180505	0.009457754250790715	1.063e-01	-1e-05
576	X403x433-3m1	614	69.5130293159609	0.19851524567353135	2.810e-31	-4e-05
577	X458-2-3x402	291	9.336769759450172	0.023075157601064197	9.453e-03	-7e-05
578	X402x447-3m2	561	77.15864527629233	0.15542124401862029	2.655e-22	-2e-05
579	X478A-2x402	586	26.69283276450512	0.15266622452338155	8.214e-23	0.00011
