	Step_Size	Window_Start	Window_End	Total_Kernels	Total_Fluor	Total_NonFluor	P-Value	Comparison	window_mean	Percent_Transmission
279	2	703	1103	82	5	77	1.8490760597155742e-15	< p = 0.05	903.0	0.06097560975609756
280	2	705	1105	82	5	77	1.8490760597155742e-15	< p = 0.05	905.0	0.06097560975609756
281	2	707	1107	83	6	77	6.530078341105824e-15	< p = 0.05	907.0	0.07228915662650602
282	2	709	1109	83	6	77	6.530078341105824e-15	< p = 0.05	909.0	0.07228915662650602
283	2	711	1111	83	6	77	6.530078341105824e-15	< p = 0.05	911.0	0.07228915662650602
284	2	713	1113	84	6	78	3.970889003937266e-15	< p = 0.05	913.0	0.07142857142857142
285	2	715	1115	84	6	78	3.970889003937266e-15	< p = 0.05	915.0	0.07142857142857142
286	2	717	1117	85	7	78	1.3497247100572006e-14	< p = 0.05	917.0	0.08235294117647059
287	2	719	1119	85	7	78	1.3497247100572006e-14	< p = 0.05	919.0	0.08235294117647059
288	2	721	1121	86	7	79	8.231808356348022e-15	< p = 0.05	921.0	0.08139534883720931
289	2	723	1123	85	7	78	1.3497247100572006e-14	< p = 0.05	923.0	0.08235294117647059
290	2	725	1125	86	8	78	4.4099612067271745e-14	< p = 0.05	925.0	0.09302325581395349
291	2	727	1127	86	8	78	4.4099612067271745e-14	< p = 0.05	927.0	0.09302325581395349
292	2	729	1129	87	8	79	2.6988865519036968e-14	< p = 0.05	929.0	0.09195402298850575
293	2	731	1131	87	8	79	2.6988865519036968e-14	< p = 0.05	931.0	0.09195402298850575
294	2	733	1133	88	8	80	1.6512753109844268e-14	< p = 0.05	933.0	0.09090909090909091
295	2	735	1135	87	8	79	2.6988865519036968e-14	< p = 0.05	935.0	0.09195402298850575
296	2	737	1137	85	8	77	7.203865304395824e-14	< p = 0.05	937.0	0.09411764705882353
297	2	739	1139	86	8	78	4.4099612067271745e-14	< p = 0.05	939.0	0.09302325581395349
298	2	741	1141	86	9	77	2.2568177121722568e-13	< p = 0.05	941.0	0.10465116279069768
299	2	743	1143	87	10	77	6.812130158529087e-13	< p = 0.05	943.0	0.11494252873563218
300	2	745	1145	86	10	76	1.1033106352701275e-12	< p = 0.05	945.0	0.11627906976744186
301	2	747	1147	85	10	75	1.7860961109805938e-12	< p = 0.05	947.0	0.11764705882352941
302	2	749	1149	85	10	75	1.7860961109805938e-12	< p = 0.05	949.0	0.11764705882352941
303	2	751	1151	84	10	74	2.8899902477129196e-12	< p = 0.05	951.0	0.11904761904761904
304	2	753	1153	85	10	75	1.7860961109805938e-12	< p = 0.05	953.0	0.11764705882352941
305	2	755	1155	84	10	74	2.8899902477129196e-12	< p = 0.05	955.0	0.11904761904761904
306	2	757	1157	84	10	74	2.8899902477129196e-12	< p = 0.05	957.0	0.11904761904761904
307	2	759	1159	84	11	73	1.3353534438911957e-11	< p = 0.05	959.0	0.13095238095238096
308	2	761	1161	85	11	74	8.297770952921056e-12	< p = 0.05	961.0	0.12941176470588237
309	2	763	1163	85	11	74	8.297770952921056e-12	< p = 0.05	963.0	0.12941176470588237
310	2	765	1165	85	11	74	8.297770952921056e-12	< p = 0.05	965.0	0.12941176470588237
311	2	767	1167	86	11	75	5.152969348806709e-12	< p = 0.05	967.0	0.12790697674418605
312	2	769	1169	86	11	75	5.152969348806709e-12	< p = 0.05	969.0	0.12790697674418605
313	2	771	1171	86	11	75	5.152969348806709e-12	< p = 0.05	971.0	0.12790697674418605
314	2	773	1173	86	11	75	5.152969348806709e-12	< p = 0.05	973.0	0.12790697674418605
315	2	775	1175	85	11	74	8.297770952921056e-12	< p = 0.05	975.0	0.12941176470588237
316	2	777	1177	86	11	75	5.152969348806709e-12	< p = 0.05	977.0	0.12790697674418605
317	2	779	1179	85	11	74	8.297770952921056e-12	< p = 0.05	979.0	0.12941176470588237
318	2	781	1181	84	11	73	1.3353534438911957e-11	< p = 0.05	981.0	0.13095238095238096
319	2	783	1183	83	11	72	2.147593354539581e-11	< p = 0.05	983.0	0.13253012048192772
320	2	785	1185	83	11	72	2.147593354539581e-11	< p = 0.05	985.0	0.13253012048192772
321	2	787	1187	83	11	72	2.147593354539581e-11	< p = 0.05	987.0	0.13253012048192772
322	2	789	1189	83	11	72	2.147593354539581e-11	< p = 0.05	989.0	0.13253012048192772
323	2	791	1191	82	11	71	3.4515848518977525e-11	< p = 0.05	991.0	0.13414634146341464
324	2	793	1193	83	11	72	2.147593354539581e-11	< p = 0.05	993.0	0.13253012048192772
325	2	795	1195	86	11	75	5.152969348806709e-12	< p = 0.05	995.0	0.12790697674418605
326	2	797	1197	86	11	75	5.152969348806709e-12	< p = 0.05	997.0	0.12790697674418605
327	2	799	1199	86	11	75	5.152969348806709e-12	< p = 0.05	999.0	0.12790697674418605
328	2	801	1201	86	11	75	5.152969348806709e-12	< p = 0.05	1001.0	0.12790697674418605
329	2	803	1203	86	12	74	2.299302557947464e-11	< p = 0.05	1003.0	0.13953488372093023
330	2	805	1205	87	12	75	1.4351762202660347e-11	< p = 0.05	1005.0	0.13793103448275862
331	2	807	1207	86	12	74	2.299302557947464e-11	< p = 0.05	1007.0	0.13953488372093023
332	2	809	1209	86	12	74	2.299302557947464e-11	< p = 0.05	1009.0	0.13953488372093023
333	2	811	1211	87	12	75	1.4351762202660347e-11	< p = 0.05	1011.0	0.13793103448275862
334	2	813	1213	87	12	75	1.4351762202660347e-11	< p = 0.05	1013.0	0.13793103448275862
335	2	815	1215	87	12	75	1.4351762202660347e-11	< p = 0.05	1015.0	0.13793103448275862
336	2	817	1217	87	12	75	1.4351762202660347e-11	< p = 0.05	1017.0	0.13793103448275862
337	2	819	1219	84	11	73	1.3353534438911957e-11	< p = 0.05	1019.0	0.13095238095238096
338	2	821	1221	84	11	73	1.3353534438911957e-11	< p = 0.05	1021.0	0.13095238095238096
339	2	823	1223	84	12	72	5.888668049571963e-11	< p = 0.05	1023.0	0.14285714285714285
340	2	825	1225	84	12	72	5.888668049571963e-11	< p = 0.05	1025.0	0.14285714285714285
341	2	827	1227	84	12	72	5.888668049571963e-11	< p = 0.05	1027.0	0.14285714285714285
342	2	829	1229	85	13	72	1.5593915931912643e-10	< p = 0.05	1029.0	0.15294117647058825
343	2	831	1231	86	13	73	9.802471696469724e-11	< p = 0.05	1031.0	0.1511627906976744
344	2	833	1233	86	13	73	9.802471696469724e-11	< p = 0.05	1033.0	0.1511627906976744
345	2	835	1235	85	12	73	3.6810399678451016e-11	< p = 0.05	1035.0	0.1411764705882353
346	2	837	1237	85	13	72	1.5593915931912643e-10	< p = 0.05	1037.0	0.15294117647058825
347	2	839	1239	85	13	72	1.5593915931912643e-10	< p = 0.05	1039.0	0.15294117647058825
348	2	841	1241	85	13	72	1.5593915931912643e-10	< p = 0.05	1041.0	0.15294117647058825
349	2	843	1243	85	13	72	1.5593915931912643e-10	< p = 0.05	1043.0	0.15294117647058825
350	2	845	1245	85	13	72	1.5593915931912643e-10	< p = 0.05	1045.0	0.15294117647058825
351	2	847	1247	85	13	72	1.5593915931912643e-10	< p = 0.05	1047.0	0.15294117647058825
352	2	849	1249	84	13	71	2.4784664682545565e-10	< p = 0.05	1049.0	0.15476190476190477
353	2	851	1251	84	13	71	2.4784664682545565e-10	< p = 0.05	1051.0	0.15476190476190477
354	2	853	1253	86	15	71	1.5542307699991917e-09	< p = 0.05	1053.0	0.1744186046511628
355	2	855	1255	84	15	69	3.8181940490842206e-09	< p = 0.05	1055.0	0.17857142857142858
356	2	857	1257	84	15	69	3.8181940490842206e-09	< p = 0.05	1057.0	0.17857142857142858
357	2	859	1259	84	15	69	3.8181940490842206e-09	< p = 0.05	1059.0	0.17857142857142858
358	2	861	1261	84	15	69	3.8181940490842206e-09	< p = 0.05	1061.0	0.17857142857142858
359	2	863	1263	85	16	69	8.995502348229611e-09	< p = 0.05	1063.0	0.18823529411764706
360	2	865	1265	85	16	69	8.995502348229611e-09	< p = 0.05	1065.0	0.18823529411764706
361	2	867	1267	84	16	68	1.3977422371435166e-08	< p = 0.05	1067.0	0.19047619047619047
362	2	869	1269	85	17	68	3.170937449416033e-08	< p = 0.05	1069.0	0.2
363	2	871	1271	84	17	67	4.884973059456466e-08	< p = 0.05	1071.0	0.20238095238095238
364	2	873	1273	85	17	68	3.170937449416033e-08	< p = 0.05	1073.0	0.2
365	2	875	1275	86	18	68	6.981805362088631e-08	< p = 0.05	1075.0	0.20930232558139536
366	2	877	1277	86	19	67	2.2672610820092223e-07	< p = 0.05	1077.0	0.22093023255813954
367	2	879	1279	85	19	66	3.4350426594690923e-07	< p = 0.05	1079.0	0.2235294117647059
368	2	881	1281	85	19	66	3.4350426594690923e-07	< p = 0.05	1081.0	0.2235294117647059
369	2	883	1283	85	19	66	3.4350426594690923e-07	< p = 0.05	1083.0	0.2235294117647059
370	2	885	1285	86	19	67	2.2672610820092223e-07	< p = 0.05	1085.0	0.22093023255813954
