CMDLINE python Family_Graphs.py
MEM 0.023438 1563573527.9715
MEM 13.269531 1563573528.0763
MEM 26.835938 1563573528.1844
MEM 35.082031 1563573528.2919
MEM 50.300781 1563573528.3995
MEM 57.308594 1563573528.5036
MEM 63.125000 1563573528.6084
MEM 72.203125 1563573528.7139
MEM 80.597656 1563573528.8192
MEM 88.304688 1563573528.9259
MEM 100.828125 1563573529.0315
MEM 133.152344 1563573529.1391
MEM 146.761719 1563573529.2441
MEM 158.816406 1563573529.3522
MEM 156.761719 1563573529.4562
MEM 163.007812 1563573529.5657
MEM 163.027344 1563573529.6738
MEM 180.132812 1563573529.7789
MEM 170.601562 1563573529.8863
MEM 152.238281 1563573529.9905
MEM 154.734375 1563573530.0968
MEM 155.003906 1563573530.2037
MEM 155.414062 1563573530.3078
MEM 158.089844 1563573530.4144
MEM 158.195312 1563573530.5225
MEM 158.257812 1563573530.6262
MEM 157.394531 1563573530.7328
MEM 171.378906 1563573530.8384
MEM 183.378906 1563573530.9431
MEM 185.523438 1563573531.0519
MEM 179.386719 1563573531.1557
MEM 179.386719 1563573531.2604
MEM 196.371094 1563573531.3673
MEM 186.679688 1563573531.4716
MEM 139.699219 1563573531.5797
MEM 125.648438 1563573531.6865
MEM 125.742188 1563573531.7934
MEM 125.769531 1563573531.8988
MEM 125.898438 1563573532.0028
MEM 126.011719 1563573532.1079
MEM 126.046875 1563573532.2149
MEM 129.957031 1563573532.3203
MEM 130.207031 1563573532.4286
MEM 130.218750 1563573532.5369
MEM 133.976562 1563573532.6444
MEM 163.691406 1563573532.7540
MEM 175.792969 1563573532.8623
MEM 187.824219 1563573532.9696
MEM 192.429688 1563573533.0747
MEM 187.171875 1563573533.1794
MEM 187.171875 1563573533.2856
MEM 204.156250 1563573533.3907
MEM 167.753906 1563573533.4974
MEM 143.832031 1563573533.6056
MEM 143.871094 1563573533.7091
MEM 143.871094 1563573533.8137
MEM 143.875000 1563573533.9208
MEM 143.933594 1563573534.0258
MEM 144.210938 1563573534.1313
MEM 144.460938 1563573534.2363
MEM 144.523438 1563573534.3436
MEM 147.230469 1563573534.4492
MEM 167.203125 1563573534.5562
MEM 179.316406 1563573534.6613
MEM 173.339844 1563573534.7694
MEM 193.355469 1563573534.8756
MEM 193.359375 1563573534.9800
MEM 210.343750 1563573535.0865
MEM 210.343750 1563573535.1927
MEM 171.445312 1563573535.2970
MEM 147.566406 1563573535.4050
MEM 147.566406 1563573535.5131
MEM 147.566406 1563573535.6194
MEM 147.437500 1563573535.7247
MEM 147.523438 1563573535.8315
MEM 147.523438 1563573535.9399
MEM 147.585938 1563573536.0433
MEM 165.980469 1563573536.1499
MEM 177.914062 1563573536.2567
MEM 188.640625 1563573536.3638
MEM 190.175781 1563573536.4691
MEM 190.175781 1563573536.5773
MEM 207.160156 1563573536.6842
MEM 207.160156 1563573536.7925
MEM 177.203125 1563573536.8994
MEM 177.203125 1563573537.0029
MEM 177.671875 1563573537.1098
MEM 170.605469 1563573537.2173
MEM 170.613281 1563573537.3211
MEM 169.222656 1563573537.4268
MEM 170.210938 1563573537.5351
MEM 182.324219 1563573537.6428
MEM 173.375000 1563573537.7510
MEM 194.953125 1563573537.8547
MEM 194.953125 1563573537.9640
MEM 211.937500 1563573538.0712
MEM 211.937500 1563573538.1757
MEM 208.644531 1563573538.2842
MEM 222.636719 1563573538.3918
MEM 233.281250 1563573538.4990
MEM 208.058594 1563573538.6043
MEM 208.058594 1563573538.7139
MEM 217.132812 1563573538.8202
MEM 225.042969 1563573538.9250
MEM 186.679688 1563573539.0303
MEM 163.871094 1563573539.1387
MEM 163.875000 1563573539.2425
MEM 163.925781 1563573539.3488
MEM 164.183594 1563573539.4547
MEM 164.511719 1563573539.5602
MEM 164.562500 1563573539.6636
MEM 164.671875 1563573539.7678
MEM 167.023438 1563573539.8714
MEM 185.121094 1563573539.9768
MEM 195.074219 1563573540.0854
MEM 179.066406 1563573540.1956
MEM 201.261719 1563573540.3043
MEM 201.261719 1563573540.4109
MEM 218.246094 1563573540.5180
MEM 207.769531 1563573540.6254
MEM 181.238281 1563573540.7287
MEM 179.593750 1563573540.8333
MEM 177.390625 1563573540.9418
MEM 177.480469 1563573541.0499
MEM 174.546875 1563573541.1536
MEM 190.265625 1563573541.2577
MEM 201.265625 1563573541.3617
MEM 183.824219 1563573541.4684
MEM 206.207031 1563573541.5757
MEM 206.207031 1563573541.6794
MEM 223.191406 1563573541.7878
MEM 214.140625 1563573541.8959
MEM 218.437500 1563573541.9993
MEM 230.457031 1563573542.1075
MEM 196.968750 1563573542.2143
MEM 219.351562 1563573542.3188
MEM 219.351562 1563573542.4282
MEM 236.335938 1563573542.5364
MEM 236.335938 1563573542.6432
MEM 176.187500 1563573542.7517
MEM 176.207031 1563573542.8598
MEM 176.207031 1563573542.9680
MEM 176.304688 1563573543.0714
MEM 176.359375 1563573543.1748
MEM 176.679688 1563573543.2839
MEM 177.078125 1563573543.3895
MEM 177.160156 1563573543.4958
MEM 177.296875 1563573543.6040
MEM 140.785156 1563573543.7114
