	File_Name	Total_Kernels	Percent_Transmission	R-Squared	P-Value	Slope	slope2	intercept2	r_value2	p_value2	slope3	intercept3	r_value3	p_value3	slope4	intercept4	r_value4	p_value4	slope5	intercept5	r_value5	p_value5
426	X403x433-3m1	614	65.77361563517915	0.21203163470020994	1.4937703796997643e-33	0.043183759385602885	-0.021917265338532676	0.5041387131368865	0.07341932430178481	8.575168653908988e-12	-0.061380510005437934	0.5437893098498996	0.33563641762970464	2.513296743267783e-56	0.03626510367911015	0.4923385270058598	0.025784861779439474	4.366393360385417e-25	-0.056106411149425446	0.5520416390148445	0.2795392527276274	1.6297479355364e-45
427	X403x433-5m1	693	23.014430014430015	0.39726841041753846	5.180626000174096e-78	0.10919655680254246	-0.0038809227144773906	0.4764420390632934	0.001524514583702065	0.3047067594967022	-0.019460434959931345	0.496217304066105	0.03277127979593491	1.6135302343171061e-06	0.08726754365193326	0.47568738351359774	0.04716966110614385	1.176201647805901e-38	0.11128005597502524	0.46440056655874656	0.25132174905167154	2.2339789897766072e-45
428	X403x433L-2m1	451	35.175166297117514	0.38933156253629686	4.923190249627313e-50	-0.13593486668069396	-0.14708034880428306	0.5688611061178702	0.5457051352770053	6.006761069135799e-79	-0.0950934770325169	0.5398649690437086	0.6053768036925111	1.0639779638640179e-92	0.005552973202695854	0.5586120793554346	2.0054342008408706e-06	0.4253135175663191	-0.08638418573993473	0.5498936918526737	0.3406915942734816	1.5593510053201856e-42
429	X403x435-1m1	448	47.57142857142857	0.9450791665993208	3.553172452713051e-283	-0.21971258891083362	-0.033709844928205016	0.4725822636196888	0.15687221364409681	2.8081591345083265e-18	-0.027939655470617903	0.5185320520674934	0.11994495679897178	4.533021401767168e-14	-0.06309880053034603	0.5197228364719404	0.0630076804590105	7.62183123245355e-30	-0.09777560858618582	0.5463390075884083	0.4136451162304188	1.1672225070136412e-53
430	X403x437-2m1	600	29.185	0.01238432799945088	0.006358300174897371	0.012475360097436662	0.1790902209711041	0.4210691095285509	0.6149570257239398	4.8504865629161944e-126	0.21996342487193316	0.3513025048065368	0.8261864007128267	2.1865472395215817e-229	0.0829043207593398	0.4652557834031201	0.008512100323515105	2.846938271160288e-14	0.033636208875126715	0.48476812442626116	0.07844235285631805	2.8199290354971873e-12
431	X403x438-2m2	368	34.78804347826087	0.18553743707050271	4.67808330033003e-18	0.08689143874209825	0.03803193746283957	0.4905615903849459	0.13421729157558637	3.93117364545033e-13	0.03789745203085176	0.4325926956684751	0.4130082010352167	2.9506940805954317e-44	0.07649025610170362	0.49281409911463336	0.2764834025657063	2.8612802365217646e-61	0.03686795888719154	0.45682384052252895	0.3175546226777745	3.168970862965806e-32
432	X403x439-3m1	501	58.812375249500995	0.26248636081237237	7.068794537017666e-35	-0.10849734994164313	0.16764052049954545	0.437247060110608	0.611494424213141	1.6350925513646055e-104	0.18087873501225718	0.3781755516280203	0.6139609081043268	3.3309198107664995e-105	0.04956219404521651	0.47945355706167603	0.17000988865547778	1.3931989258460432e-59	-0.0005737290780048655	0.47210492979520713	1.0812565255285769e-05	0.9414740746550383
433	X403x441-3m1	635	45.08661417322835	0.10314226254603828	1.0607139109818639e-16	0.036306154427701604	0.045758454895689235	0.5045407943191084	0.266108186115002	1.8164067642126862e-44	0.09523261941886661	0.4527199276839188	0.6247303846526429	7.629520852068575e-137	-0.09810515345156626	0.5730467749341971	0.12465839838224196	7.28169738560973e-62	0.11148151205471621	0.46096281719830096	0.37092256328503026	1.0118662002048436e-65
434	X403x443B-3m1-v	669	63.14200298953662	0.08513626576353671	1.3499074433305566e-14	0.038247443577613074	-0.07220770267732096	0.5188439161575388	0.21428176091086254	7.82280373969319e-37	0.03791151482053399	0.4824291105516312	0.1948783003663655	2.7990560175814478e-33	0.00381098972901172	0.5283406988671143	1.9876805673533686e-06	0.33219318696338873	-0.056248082728658416	0.5307647637106742	0.19744119873537047	9.603486710182293e-34
435	X403x443B-5m2-v	421	39.55581947743468	0.4398095234475023	1.1065500064960434e-54	0.07483558810371878	-0.07847299456338917	0.5503706837843417	0.5279697010546769	2.6609765094880366e-70	-0.1874030027114098	0.5770273180212406	0.8218555400831198	4.674703613516e-159	-0.146179803347183	0.60421457739486	0.3953034924685545	3.4701975226660216e-92	-0.12367452110496138	0.5772454959648163	0.46502391655203756	6.94556144645237e-59
436	X403x444B-3m1-v	333	54.333333333333336	0.5816537465754047	1.3262381996287054e-64	-0.07730413422705164	-0.18988870885849338	0.5777466664063861	0.8058537635493535	7.474838822495767e-120	-0.007755207633194233	0.5822274969266915	0.019987448903001574	0.00978960072969964	0.012518905688445988	0.5147148991628312	0.0005944011941913848	0.004288132500184634	0.09477810068812992	0.5021098742073206	0.6670945405282247	4.710508058309567e-81
437	X403x445-4m1	633	61.40600315955766	0.1670547910689065	6.941490010458726e-27	-0.03990112905661556	-0.004853789645745014	0.47192381833909297	0.0019814909743812426	0.2634436340734034	-0.05937505727587488	0.5463089766287739	0.4908941270514646	1.4239951026056088e-94	0.08228261594044932	0.46227972019621344	0.2366992644047967	2.1297481888203554e-93	-0.05978575255846928	0.5683742119589713	0.21039330828270808	2.9567404195744144e-34
438	X403x447-3m4	635	39.491338582677166	0.5604057409632874	4.489958834830144e-115	-0.14399654959035552	-0.11658220642422801	0.5474066109451496	0.622478074687279	5.079144385377438e-136	0.009509015234841834	0.5135972902316341	0.001970576422489484	0.2640075684541572	-0.15364068190914865	0.5568180514920661	0.27909719941832084	2.2661410561465252e-105	-0.1349224015339384	0.5687320031181089	0.384342082872628	1.0803408790461332e-68
439	X403x454-3m4	695	52.96115107913669	0.24225181646245705	1.1033907084437206e-43	0.051159524781107225	-0.04697041412969755	0.5605707468381728	0.2263063236484389	1.5528607809170254e-40	-0.03721231344429448	0.5607049587650248	0.04394512844704948	2.424316088281665e-08	0.015935915170657552	0.4394325925352824	0.00023427928656806376	0.001082121566222062	0.03172684636948165	0.47426355643212526	0.17380665482682087	1.34050555912883e-30
