	File_Name	Total_Kernels	Percent_Transmission	R-Squared	P-Value	Slope	slope2	intercept2	r_value2	p_value2	slope3	intercept3	r_value3	p_value3	slope4	intercept4	r_value4	p_value4	slope5	intercept5	r_value5	p_value5
291	X402x468A-5m1	361	70.78947368421052	0.5116323821090384	7.916474117707406e-58	0.07000874204304973	-0.10126619615240262	0.5761511185547118	0.7518295853896867	1.1047413583493738e-110	0.06257228844194997	0.4361601736685027	0.47666244517785333	2.0184832536126725e-52	0.016544262203392418	0.48099918937497477	0.0006694745255607052	0.0021721576905027557	-0.07177387865009702	0.5219010194492056	0.4587346245397559	8.690419339467446e-50
292	X402x469A-3m1	667	67.25187406296851	0.1206831751864078	2.3618972067651715e-20	-0.022508111689052406	-0.007864481577084532	0.46950709453859024	0.003670583394210167	0.11800577600075562	0.1143139228921412	0.4390473444364029	0.620841383736534	3.559901674059901e-142	-0.04459540489411972	0.5265147736916109	0.017458896090912102	2.894096751251777e-22	-0.08556704617291314	0.5359120972759233	0.3542920543641846	3.5605736179657447e-65
293	X402x469A-3m2	725	61.85655172413793	0.011852913049335152	0.0033342503939223947	0.0211035237817187	0.16594901699485623	0.40225998748050434	0.5462941688833721	3.364672900127699e-126	0.053624957186271506	0.4774848982490211	0.33245008129054326	1.8240534104128143e-65	-0.034956698948704325	0.5745573463977602	0.09777916104746452	7.120872912636739e-61	-0.05151137598013631	0.5285521577557724	0.13360660092604426	2.4520342362037884e-24
294	X402x469A-3m3	652	64.78220858895706	0.15534239434354097	1.16774596153318e-25	-0.028906158663121524	-0.02304132982766238	0.49400563631941646	0.021931301027337598	0.00014757285735639072	-0.0673063923452827	0.5110461230142815	0.26601461132583165	1.3472693630754644e-45	0.06043440922989664	0.4736108707821926	0.012095166531172534	3.347086432365263e-18	-0.12126790186004287	0.6020005347087218	0.554828384180217	2.4781672128655918e-116
295	X402x471A-1m3	366	4.942622950819672	0.7099754775940621	7.212820476376275e-100	0.6249191353258444	-0.17796052981428453	0.6872108139573635	0.16786620940174027	3.0065469081120505e-16	0.9210258965485212	0.23215662410842663	0.8072095023668785	3.571894676336352e-132	-0.16915065858090833	0.8584943595619436	0.08231202618686882	1.4541967211045424e-28	0.11447741780412526	0.33308460621633446	0.08471091889167012	1.4084284138554192e-08
296	X402x472A-2m1	408	0.1323529411764706	0.31721579727703714	1.599608328233763e-35	-0.4217783690493311	0.007316985473896157	0.9951160170669735	0.007334963325183342	0.08402402281021526	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	-0.4217783690493311	0.2905460472697636	0.31721579727703714	1.599608328233763e-35
297	X402x474-2m1	517	59.133462282398455	0.22077844700499594	9.41082117713714e-30	0.07122765548127255	-0.02419109578444059	0.47751879896884286	0.0871249215559501	7.469317215627508e-12	0.08683437512064847	0.4579846917524038	0.7518203072569081	5.7517393531357556e-158	0.09498600965279543	0.44764637780477784	0.11908386114854312	2.772384275846399e-49	0.12690830971893272	0.4443000049436332	0.6091317410788784	3.9880605052211077e-107
298	X402x474-4m1	665	60.697744360902256	0.096325490827098	2.5775816850788124e-16	-0.020561425001216976	-0.04642412748995804	0.5714875295759012	0.13553569936021523	8.965486356668457e-23	-0.10231210702690519	0.5622764364133359	0.3688226422627788	2.862153673689415e-68	0.024554285825568546	0.5103403103257033	0.001331676906203194	6.952447167092032e-07	0.09551542128581648	0.41515099299801456	0.5493819586433693	7.212587587057317e-117
299	X402x474-4m3	675	55.38074074074074	0.06800129479205315	5.90680972362279e-12	-0.050284691532691	-0.022256508584095714	0.510785619697789	0.029052572275942604	8.47620947756591e-06	-0.015019959331512893	0.48602871201100006	0.0437755165685725	4.097126477417782e-08	0.03253225797695205	0.4727486674675105	0.003513614159452515	1.4512362222248384e-10	0.058464846151732634	0.49137192807378577	0.175979819741223	3.759786600267715e-30
300	X402x474-4m4	511	49.59295499021526	0.08014011697589396	7.150694707427384e-11	-0.020268205286982994	0.057152519337392724	0.4139243462669879	0.2770843851090985	9.176299258267131e-38	-0.0065568339335295624	0.5339838259906594	0.0024002679871283736	0.2689676739247926	-0.2433527213612656	0.6733774785945803	0.7969531653618838	6.879053797007146e-249	0.06529593141731822	0.46872126091620203	0.3218456231433157	7.343314213887819e-45
301	X402x474-4m5	511	52.38356164383562	0.1594304347322194	5.5809454025697994e-21	0.033733834020886214	-0.02834606363173796	0.520887373749826	0.08602217506868558	1.3507762556599967e-11	-0.04089953549557837	0.5477647687086843	0.0744978179945656	3.510520390664009e-10	0.05348921860147408	0.44486074772914047	0.029608270752571747	1.1371585760572368e-22	-0.02329742340940437	0.5063041617571494	0.04919792200715412	4.085290495634354e-07
302	X402x475A-1m1	533	33.5140712945591	0.1549009554821847	3.4181764115831544e-21	0.038154340820852596	-0.038546232996291604	0.49806616768809897	0.12765591035813334	1.7115288794740338e-17	-0.02870130351932689	0.4874891181375442	0.03850848736577007	5.012341982391384e-06	0.06146951460641963	0.4699226968089412	0.04396589168712907	5.520949789876604e-29	-0.12403102193532657	0.5416409598032271	0.46829666420442645	7.38293821284041e-75
303	X402x475A-1m2	547	52.82632541133455	0.22758731046442365	1.9555811184079516e-32	0.06766215068815928	-0.09698381378150239	0.50153106131291	0.35650253441584767	3.8468376920606403e-54	0.06423564218065848	0.4637740077692981	0.3841597829091101	2.3445839297671023e-59	-0.09104631788060663	0.50961384918823	0.48356382454906	8.57673923759387e-143	0.07625535761064753	0.43006720267220755	0.46396736084584683	8.016741023097299e-76
304	X402x475A-1m3	516	59.968992248062015	0.7364047495343637	6.213645615293372e-151	-0.20385438464955144	-0.03863962620599232	0.5335822136004957	0.28848767355113547	6.6836858780868464e-40	0.025524317358908245	0.5262865626151118	0.05957735832952494	1.9513615297577496e-08	-0.13108193715111324	0.5576672165029887	0.6734947488598674	6.018581502048219e-194	0.06406400632139374	0.46642050718100486	0.3885796684587267	6.911001652539923e-57
305	X402x478A-2m1	559	58.29695885509839	0.6827702933248158	5.545454281458329e-141	-0.14358246673394623	0.14908951589952493	0.4066690514515773	0.5644474736664635	1.3341292471478734e-102	-0.11167402725261777	0.56085533194643	0.649821309126459	5.0896564505300153e-129	-0.0775653329500907	0.5727938051489607	0.1313646506094724	2.0251682302812703e-56	0.06974134589763968	0.4857477271255384	0.3818196342932785	3.6494270519065537e-60
