CMDLINE python Family_Graphs.py
MEM 0.023438 1563573096.4391
MEM 13.699219 1563573096.5429
MEM 26.691406 1563573096.6527
MEM 26.761719 1563573096.7569
MEM 29.871094 1563573096.8633
MEM 30.101562 1563573096.9722
MEM 30.304688 1563573097.0820
MEM 30.554688 1563573097.1905
MEM 31.007812 1563573097.3003
MEM 31.007812 1563573097.4080
MEM 31.007812 1563573097.5167
MEM 31.007812 1563573097.6255
MEM 31.007812 1563573097.7296
MEM 31.011719 1563573097.8393
MEM 31.011719 1563573097.9452
MEM 31.011719 1563573098.0510
MEM 31.011719 1563573098.1556
MEM 31.011719 1563573098.2605
MEM 31.011719 1563573098.3669
MEM 31.011719 1563573098.4711
MEM 31.011719 1563573098.5762
MEM 31.011719 1563573098.6814
MEM 31.015625 1563573098.7866
MEM 31.015625 1563573098.8942
MEM 31.015625 1563573098.9985
MEM 31.015625 1563573099.1081
MEM 31.015625 1563573099.2170
MEM 31.015625 1563573099.3217
MEM 31.015625 1563573099.4295
MEM 31.015625 1563573099.5349
MEM 31.015625 1563573099.6410
MEM 31.015625 1563573099.7471
MEM 31.015625 1563573099.8520
MEM 31.015625 1563573099.9561
MEM 31.015625 1563573100.0609
MEM 31.015625 1563573100.1669
MEM 31.015625 1563573100.2747
MEM 31.015625 1563573100.3816
MEM 31.015625 1563573100.4860
MEM 31.015625 1563573100.5910
MEM 31.015625 1563573100.7007
MEM 31.015625 1563573100.8049
MEM 31.015625 1563573100.9106
MEM 31.015625 1563573101.0180
MEM 31.015625 1563573101.1216
MEM 31.015625 1563573101.2283
MEM 31.015625 1563573101.3373
MEM 31.015625 1563573101.4417
MEM 31.015625 1563573101.5468
MEM 31.015625 1563573101.6550
MEM 31.015625 1563573101.7593
MEM 31.132812 1563573101.8678
MEM 31.675781 1563573101.9727
MEM 31.957031 1563573102.0825
MEM 32.480469 1563573102.1901
MEM 32.800781 1563573102.2997
MEM 32.980469 1563573102.4042
MEM 33.136719 1563573102.5087
MEM 33.195312 1563573102.6142
MEM 33.703125 1563573102.7238
MEM 34.511719 1563573102.8308
MEM 34.593750 1563573102.9406
MEM 34.933594 1563573103.0448
MEM 35.437500 1563573103.1546
MEM 35.562500 1563573103.2592
MEM 35.640625 1563573103.3667
MEM 35.761719 1563573103.4764
MEM 35.949219 1563573103.5861
MEM 36.457031 1563573103.6949
MEM 36.691406 1563573103.8035
MEM 37.136719 1563573103.9077
MEM 38.078125 1563573104.0115
MEM 38.503906 1563573104.1157
MEM 40.269531 1563573104.2254
MEM 40.773438 1563573104.3303
MEM 41.406250 1563573104.4380
MEM 41.875000 1563573104.5476
MEM 48.312500 1563573104.6511
MEM 48.593750 1563573104.7607
MEM 53.187500 1563573104.8673
MEM 53.363281 1563573104.9745
MEM 54.148438 1563573105.0827
MEM 54.523438 1563573105.1901
MEM 55.031250 1563573105.2992
MEM 55.550781 1563573105.4054
MEM 55.890625 1563573105.5118
MEM 56.203125 1563573105.6168
MEM 56.429688 1563573105.7215
MEM 56.929688 1563573105.8305
MEM 57.679688 1563573105.9399
MEM 57.964844 1563573106.0450
MEM 60.699219 1563573106.1527
MEM 67.355469 1563573106.2595
MEM 78.062500 1563573106.3640
MEM 84.968750 1563573106.4704
MEM 85.781250 1563573106.5757
MEM 86.281250 1563573106.6803
MEM 87.281250 1563573106.7894
MEM 87.773438 1563573106.8991
MEM 88.640625 1563573107.0061
MEM 89.300781 1563573107.1125
MEM 89.589844 1563573107.2195
MEM 92.933594 1563573107.3246
MEM 93.457031 1563573107.4343
MEM 93.699219 1563573107.5420
MEM 93.902344 1563573107.6515
MEM 94.328125 1563573107.7594
MEM 94.535156 1563573107.8673
MEM 95.542969 1563573107.9766
MEM 95.933594 1563573108.0830
MEM 96.250000 1563573108.1928
MEM 96.660156 1563573108.2972
MEM 97.066406 1563573108.4066
MEM 97.253906 1563573108.5114
MEM 97.882812 1563573108.6172
MEM 98.488281 1563573108.7254
MEM 98.679688 1563573108.8301
MEM 99.753906 1563573108.9377
MEM 101.117188 1563573109.0453
MEM 102.210938 1563573109.1496
MEM 103.265625 1563573109.2592
MEM 103.332031 1563573109.3631
MEM 103.554688 1563573109.4671
MEM 103.632812 1563573109.5704
MEM 103.648438 1563573109.6746
MEM 103.667969 1563573109.7803
MEM 103.707031 1563573109.8847
MEM 103.730469 1563573109.9895
MEM 103.761719 1563573110.0967
MEM 103.839844 1563573110.2063
MEM 103.906250 1563573110.3158
MEM 103.960938 1563573110.4255
MEM 104.101562 1563573110.5343
MEM 104.136719 1563573110.6440
MEM 104.855469 1563573110.7511
MEM 105.152344 1563573110.8607
MEM 108.164062 1563573110.9666
MEM 114.273438 1563573111.0746
MEM 123.281250 1563573111.1795
MEM 130.878906 1563573111.2855
MEM 131.429688 1563573111.3935
MEM 131.386719 1563573111.4965
MEM 131.386719 1563573111.6007
MEM 131.386719 1563573111.7060
