CMDLINE python Family_Graphs.py
MEM 131.394531 1563573111.8099
MEM 131.417969 1563573111.9137
MEM 131.417969 1563573112.0199
MEM 132.515625 1563573112.1230
MEM 132.597656 1563573112.2301
MEM 132.617188 1563573112.3334
MEM 132.621094 1563573112.4405
MEM 132.714844 1563573112.5479
MEM 132.804688 1563573112.6538
MEM 132.972656 1563573112.7576
MEM 133.164062 1563573112.8626
MEM 133.312500 1563573112.9676
MEM 133.375000 1563573113.0757
MEM 133.468750 1563573113.1854
MEM 133.531250 1563573113.2918
MEM 133.800781 1563573113.3955
MEM 134.203125 1563573113.5022
MEM 134.218750 1563573113.6110
MEM 134.390625 1563573113.7177
MEM 134.503906 1563573113.8230
MEM 134.839844 1563573113.9290
MEM 134.984375 1563573114.0334
MEM 135.472656 1563573114.1381
MEM 136.160156 1563573114.2449
MEM 136.253906 1563573114.3492
MEM 136.414062 1563573114.4590
MEM 136.523438 1563573114.5633
MEM 137.019531 1563573114.6735
MEM 145.996094 1563573114.7798
MEM 146.058594 1563573114.8837
MEM 146.812500 1563573114.9900
MEM 147.109375 1563573115.0985
MEM 147.308594 1563573115.2081
MEM 147.507812 1563573115.3160
MEM 148.035156 1563573115.4259
MEM 148.074219 1563573115.5334
MEM 148.519531 1563573115.6367
MEM 150.902344 1563573115.7435
MEM 152.214844 1563573115.8495
MEM 152.519531 1563573115.9542
MEM 152.574219 1563573116.0597
MEM 152.582031 1563573116.1683
MEM 152.687500 1563573116.2722
MEM 152.816406 1563573116.3765
MEM 153.179688 1563573116.4808
MEM 153.394531 1563573116.5882
MEM 153.726562 1563573116.6922
MEM 154.578125 1563573116.8011
MEM 154.664062 1563573116.9096
MEM 154.972656 1563573117.0147
MEM 155.464844 1563573117.1183
MEM 155.464844 1563573117.2245
MEM 164.082031 1563573117.3329
MEM 185.433594 1563573117.4367
MEM 195.371094 1563573117.5448
MEM 201.386719 1563573117.6495
MEM 207.417969 1563573117.7529
MEM 192.253906 1563573117.8564
MEM 213.941406 1563573117.9605
MEM 213.941406 1563573118.0687
MEM 213.957031 1563573118.1732
MEM 231.031250 1563573118.2771
MEM 228.765625 1563573118.3817
MEM 220.730469 1563573118.4872
MEM 168.988281 1563573118.5948
MEM 154.359375 1563573118.6993
