	File_Name	Total_Kernels	Percent_Transmission	R-Squared	P-Value	Slope
194	X401x520-1m1	543	51.141804788213626	0.5057332067350114	7.924e-85	-0.09674
195	X401x520-2m1	570	54.72982456140351	0.07667038693923514	1.717e-11	0.02147
196	X401x521-1m1	603	47.53897180762852	0.47700987052990174	1.201e-86	0.21724
197	X401x521-4m1	507	43.04930966469428	0.01874615640107447	2.003e-03	0.00939
198	X401x522-1m1	619	50.810985460420035	0.5354175338393221	8.522e-105	-0.13552
199	X401x524-1m3	577	49.01386481802427	0.006864859153628173	4.666e-02	-0.01285
200	X401x525-1m3	639	51.690140845070424	0.00661155742347459	3.990e-02	-0.01705
201	X401x528-2m1	667	50.827586206896555	0.028190926821943345	1.306e-05	-0.01828
202	X401x528-5m1	649	55.10477657935285	0.6393205364670215	2.098e-145	-0.07397
203	X401x534-2m4	523	46.994263862332694	0.6053511609807014	2.915e-107	-0.10855
204	X401x535A-4m2	567	44.96296296296296	0.836701104885618	1.706e-224	0.20302
205	X401x541A-4 HVY	471	6.721868365180467	0.753878443814009	7.108e-145	0.06036
206	X401x552AL-1m1	468	9.504273504273504	0.28209224706444985	2.014e-35	0.02602
207	X401x552AL-3m3	133	7.43609022556391	0.5954935441909971	1.609e-27	-0.03732
208	X401x552AL-4m1	325	3.7784615384615385	0.10813986884174553	1.237e-09	0.01897
209	X401x555A-4m1	337	3.4094955489614245	0.0008534420481566621	5.931e-01	-0.00208
210	X402x4-1m3	651	57.665130568356375	0.14170034148755797	2.409e-23	-0.03363
211	X402x415-4m2	587	54.01362862010222	0.3665744329168967	5.380e-60	-0.0761
212	X402x415-4m3	608	38.60361842105263	0.06340656081608767	3.016e-10	0.04426
213	X402x417-2m2	544	39.34375	0.2576969689841659	5.681e-37	0.06922
214	X402x417-2m3	585	27.864957264957265	0.08229526726015973	1.518e-12	-0.05549
215	X402x418-1m1	600	42.24	0.03275698327572544	8.160e-06	-0.01698
216	X402x418-1m2	703	56.36842105263158	0.3688641201676352	4.340e-72	-0.10302
217	X402x418-1m3	635	50.64724409448819	0.01604993472157519	1.379e-03	-0.02931
218	X402x421-1m3	415	41.87469879518072	0.04553676501154758	1.162e-05	0.04262
219	X402x421-4m1	606	45.0957095709571	0.11432454749565456	1.132e-17	-0.02293
220	X402x421-5m1	526	58.4828897338403	0.4421447606396608	2.027e-68	-0.15308
221	X402x421-5m2	414	65.84299516908213	0.16722017216077434	4.043e-18	0.03858
222	X402x421-5m3	502	63.97011952191235	0.8196937700329928	3.962e-188	-0.11746
223	X402x422-1m2	292	14.527397260273972	0.23425605803195643	1.489e-18	0.06183
224	X402x422-2m1	127	44.21259842519685	0.2457867020254739	3.096e-09	0.03383
225	X402x422-2m2	428	33.89252336448598	0.04222120749490978	1.833e-05	-0.0491
226	X402x422-2m3	358	42.37150837988827	0.8336397077588295	1.028e-140	0.09188
227	X402x422-4m2	510	56.207843137254905	0.2230180453096779	1.087e-29	0.08573
228	X402x423-2m1	454	67.0	0.6984602778161572	9.627e-120	0.15398
229	X402x423-2m2	476	79.93697478991596	0.027755447877141935	2.615e-04	-0.01153
230	X402x423-2m3	585	84.31452991452991	0.061104777784893594	1.358e-09	-0.02144
231	X402x424-1m3	557	38.50448833034111	0.4659266730128417	1.270e-77	0.10143
232	X402x426-1m1	568	42.51232394366197	0.26592138632117335	6.547e-40	-0.05104
233	X402x426-1m2	661	49.38880484114977	0.0014372435710788844	3.305e-01	-0.00505
234	X402x426-1m3	671	53.06110283159463	0.3264055935967894	2.139e-59	-0.04335
235	X402x427-2m1	421	72.79097387173397	0.3343069033059189	6.344e-39	-0.03886
236	X402x429-2m1	562	42.55338078291815	0.272622978365042	1.260e-40	0.08912
237	X402x429-2m2	669	64.46487294469357	0.006822790412993687	3.267e-02	-0.01536
238	X402x429-2m3	640	47.4546875	0.33310698089856405	4.080e-58	-0.06262
239	X402x432-1m1	443	60.70428893905192	0.020560799171180078	2.485e-03	0.01647
240	X402x432-2m2	500	56.596	0.1391668353516236	5.901e-18	0.05145
241	X402x432-2m3	677	49.97045790251108	0.10037909899618862	2.991e-17	-0.04397
242	X402x433L-2m2	395	62.89367088607595	0.3487831935112374	1.691e-38	-0.07666
243	X402x434-1m1	603	75.38640132669984	0.39299213028221813	3.664e-67	-0.086
244	X402x435L-2m1_final	568	36.98943661971831	0.4390395291515612	4.477e-73	0.17549
245	X402x435L-2m2	687	51.138282387190685	0.23900383479081758	1.466e-42	-0.08795
246	X402x435L-2m3_final	665	60.62406015037594	0.34479324465141065	7.087e-63	-0.10123
247	X402x437-1m1	351	36.706552706552706	0.5070582598301555	1.477e-55	-0.08969
248	X402x437-1m2	446	61.88116591928251	0.42018994979402874	1.638e-54	0.04499
249	X402x437-1m3	488	25.063524590163933	0.30105346997706417	1.040e-39	-0.07488
250	X402x438-2m3	700	54.05714285714286	0.29836465729278	1.081e-55	0.0867
251	X402x439-1m2	653	51.05972434915773	0.4053475349074647	1.632e-75	0.0851
252	X402x439-1m3	502	48.322709163346616	0.05292044404404629	1.874e-07	-0.0215
253	X402x439-4m1	440	55.29545454545455	0.06521757720558394	5.575e-08	0.01412
254	X402x440-1m1	563	61.58792184724689	0.4268414498026399	8.076e-70	-0.1188
255	X402x440-1m2	620	62.99354838709677	0.2955073677579045	5.796e-49	-0.0828
256	X402x440-1m3	569	46.64499121265378	0.4642017584868628	7.288e-79	0.05722
257	X402x441-2m1	650	69.80153846153846	0.04103368667248861	1.902e-07	0.02115
258	X402x441-2m2	557	68.69658886894075	0.8529630302968355	3.349e-233	-0.12452
259	X402x441-2m3	494	84.42914979757084	0.7763908209191942	3.845e-162	-0.11408
260	X402x443B-1m1-v	618	73.457928802589	0.43834981515228477	3.316e-79	0.08768
261	X402x443B-5m1-v	714	70.32633053221288	0.7622706026279154	2.629e-224	-0.12707
262	X402x443B-5m3-v	660	65.88636363636364	0.4225670207184157	1.632e-80	0.11799
263	X402x444B-1m1-v	477	95.16561844863732	0.24737823791722743	3.556e-31	-0.03432
264	X402x444B-1m2-v	554	51.51083032490975	0.4776621735375538	6.998e-80	-0.09045
265	X402x444B-1m3-v	296	64.16554054054055	0.031772991753557835	2.081e-03	-0.00732
266	X402x445-2m2	513	64.83040935672514	0.30834411798562306	7.817e-43	-0.03573
267	X402x445-2m3	607	64.04448105436573	0.3980166311011639	1.082e-68	0.12346
268	X402x447-1m1	687	53.63173216885007	0.6544511801858883	3.274e-160	0.11574
269	X402x447-3m1	670	66.35522388059701	0.00018927860781965293	7.222e-01	-0.00216
270	X402x447-3m2	561	77.15864527629233	0.15542124401862042	2.655e-22	-0.02773
271	X402x447-3m3	664	42.26204819277108	1.8701687434627224e-06	9.719e-01	-0.00021
272	X402x447-4m1	672	70.8735119047619	0.43654774168818733	1.603e-85	-0.08876
273	X402x449A-1m1	624	39.09935897435897	0.5334198232593563	4.751e-105	-0.1286
274	X402x449A-1m2	552	47.23007246376812	0.801430283065691	3.203e-195	0.17801
275	X402x449A-1m3	446	24.865470852017935	0.0019146154582127665	3.566e-01	-0.00751
276	X402x449A-1m4	574	33.494773519163765	0.23714184885186562	1.630e-35	-0.08176
277	X402x450-1m1	513	52.95711500974659	0.4264273856938669	1.124e-63	0.05346
278	X402x450-2m1	599	67.55258764607679	0.5629631063631118	2.151e-109	-0.06793
279	X402x450-2m2	569	57.344463971880494	0.11474064435998904	9.636e-17	-0.02852
280	X402x450-2m3	495	60.62828282828283	0.534020555491461	8.773e-84	0.11407
281	X402x451A-1m1	673	50.655274888558694	0.1945514993393002	2.075e-33	0.04222
282	X402x451A-4m1	642	50.65576323987539	0.4501812090091304	3.479e-85	0.08982
283	X402x451A-4m2	655	61.444274809160305	0.028534849807990367	1.385e-05	-0.02063
284	X402x451A-5m1	478	57.43305439330544	0.8334278966145202	2.206e-187	-0.17109
285	X402x451A-5m2	679	60.90721649484536	0.19658050673210245	4.572e-34	-0.06243
286	X402x452B-5m1-v	608	56.838815789473685	0.754519821994123	5.577e-187	-0.19051
287	X402x452B-5m2-v	412	49.351941747572816	0.8676201082150223	3.976e-182	-0.19468
