	File	Step_Size	Window_Start	Window_End	Total_Kernels	Total_Fluor	Total_NonFluor	P-Value	Comparison	window_mean	Normalized_Window_Mean	Percent_Transmission
45	X4-1x402.xml	2	338	738	100	49	51	0.841480581121794	> p = 0.05	538.0	0.10368663594470046	0.49
46	X4-1x402.xml	2	340	740	99	48	51	0.763024600552995	> p = 0.05	540.0	0.10599078341013825	0.48484848484848486
47	X4-1x402.xml	2	342	742	99	48	51	0.763024600552995	> p = 0.05	542.0	0.10829493087557604	0.48484848484848486
48	X4-1x402.xml	2	344	744	98	48	50	0.8398928732712689	> p = 0.05	544.0	0.11059907834101383	0.4897959183673469
49	X4-1x402.xml	2	346	746	98	48	50	0.8398928732712689	> p = 0.05	546.0	0.11290322580645161	0.4897959183673469
50	X4-1x402.xml	2	348	748	98	48	50	0.8398928732712689	> p = 0.05	548.0	0.1152073732718894	0.4897959183673469
51	X4-1x402.xml	2	350	750	97	49	48	0.9191260795347785	> p = 0.05	550.0	0.1175115207373272	0.5051546391752577
52	X4-1x402.xml	2	352	752	98	50	48	0.8398928732712689	> p = 0.05	552.0	0.11981566820276497	0.5102040816326531
53	X4-1x402.xml	2	354	754	98	50	48	0.8398928732712689	> p = 0.05	554.0	0.12211981566820276	0.5102040816326531
54	X4-1x402.xml	2	356	756	98	50	48	0.8398928732712689	> p = 0.05	556.0	0.12442396313364056	0.5102040816326531
55	X4-1x402.xml	2	358	758	99	50	49	0.9199443808170074	> p = 0.05	558.0	0.12672811059907835	0.5050505050505051
56	X4-1x402.xml	2	360	760	99	50	49	0.9199443808170074	> p = 0.05	560.0	0.12903225806451613	0.5050505050505051
57	X4-1x402.xml	2	362	762	99	51	48	0.763024600552995	> p = 0.05	562.0	0.1313364055299539	0.5151515151515151
58	X4-1x402.xml	2	364	764	99	51	48	0.763024600552995	> p = 0.05	564.0	0.1336405529953917	0.5151515151515151
59	X4-1x402.xml	2	366	766	99	51	48	0.763024600552995	> p = 0.05	566.0	0.1359447004608295	0.5151515151515151
60	X4-1x402.xml	2	368	768	99	51	48	0.763024600552995	> p = 0.05	568.0	0.1382488479262673	0.5151515151515151
61	X4-1x402.xml	2	370	770	99	50	49	0.9199443808170074	> p = 0.05	570.0	0.14055299539170507	0.5050505050505051
62	X4-1x402.xml	2	372	772	99	50	49	0.9199443808170074	> p = 0.05	572.0	0.14285714285714285	0.5050505050505051
63	X4-1x402.xml	2	374	774	99	50	49	0.9199443808170074	> p = 0.05	574.0	0.14516129032258066	0.5050505050505051
64	X4-1x402.xml	2	376	776	98	49	49	1.0	> p = 0.05	576.0	0.14746543778801843	0.5
65	X4-1x402.xml	2	378	778	98	50	48	0.8398928732712689	> p = 0.05	578.0	0.1497695852534562	0.5102040816326531
66	X4-1x402.xml	2	380	780	98	50	48	0.8398928732712689	> p = 0.05	580.0	0.15207373271889402	0.5102040816326531
67	X4-1x402.xml	2	382	782	99	50	49	0.9199443808170074	> p = 0.05	582.0	0.1543778801843318	0.5050505050505051
68	X4-1x402.xml	2	384	784	99	50	49	0.9199443808170074	> p = 0.05	584.0	0.15668202764976957	0.5050505050505051
69	X4-1x402.xml	2	386	786	100	51	49	0.841480581121794	> p = 0.05	586.0	0.15898617511520738	0.51
70	X4-1x402.xml	2	388	788	101	52	49	0.7653130619721424	> p = 0.05	588.0	0.16129032258064516	0.5148514851485149
71	X4-1x402.xml	2	390	790	102	52	50	0.8430219763697248	> p = 0.05	590.0	0.16359447004608296	0.5098039215686274
72	X4-1x402.xml	2	392	792	102	52	50	0.8430219763697248	> p = 0.05	592.0	0.16589861751152074	0.5098039215686274
73	X4-1x402.xml	2	394	794	103	52	51	0.9215091265496015	> p = 0.05	594.0	0.16820276497695852	0.5048543689320388
74	X4-1x402.xml	2	396	796	103	52	51	0.9215091265496015	> p = 0.05	596.0	0.17050691244239632	0.5048543689320388
75	X4-1x402.xml	2	398	798	103	52	51	0.9215091265496015	> p = 0.05	598.0	0.1728110599078341	0.5048543689320388
76	X4-1x402.xml	2	400	800	101	51	50	0.9207383352044227	> p = 0.05	600.0	0.17511520737327188	0.504950495049505
77	X4-1x402.xml	2	402	802	101	50	51	0.9207383352044227	> p = 0.05	602.0	0.1774193548387097	0.49504950495049505
78	X4-1x402.xml	2	404	804	101	50	51	0.9207383352044227	> p = 0.05	604.0	0.17972350230414746	0.49504950495049505
79	X4-1x402.xml	2	406	806	100	49	51	0.841480581121794	> p = 0.05	606.0	0.18202764976958524	0.49
80	X4-1x402.xml	2	408	808	99	48	51	0.763024600552995	> p = 0.05	608.0	0.18433179723502305	0.48484848484848486
81	X4-1x402.xml	2	410	810	100	48	52	0.6891565167793516	> p = 0.05	610.0	0.18663594470046083	0.48
82	X4-1x402.xml	2	412	812	101	49	52	0.7653130619721424	> p = 0.05	612.0	0.1889400921658986	0.48514851485148514
83	X4-1x402.xml	2	414	814	100	48	52	0.6891565167793516	> p = 0.05	614.0	0.1912442396313364	0.48
84	X4-1x402.xml	2	416	816	100	48	52	0.6891565167793516	> p = 0.05	616.0	0.1935483870967742	0.48
85	X4-1x402.xml	2	418	818	100	48	52	0.6891565167793516	> p = 0.05	618.0	0.195852534562212	0.48
86	X4-1x402.xml	2	420	820	100	48	52	0.6891565167793516	> p = 0.05	620.0	0.19815668202764977	0.48
87	X4-1x402.xml	2	422	822	99	47	52	0.615302555690511	> p = 0.05	622.0	0.20046082949308755	0.47474747474747475
88	X4-1x402.xml	2	424	824	99	47	52	0.615302555690511	> p = 0.05	624.0	0.20276497695852536	0.47474747474747475
89	X4-1x402.xml	2	426	826	98	46	52	0.5444539772747027	> p = 0.05	626.0	0.20506912442396313	0.46938775510204084
90	X4-1x402.xml	2	428	828	99	46	53	0.48172771631662636	> p = 0.05	628.0	0.2073732718894009	0.46464646464646464
91	X4-1x402.xml	2	430	830	99	46	53	0.48172771631662636	> p = 0.05	630.0	0.20967741935483872	0.46464646464646464
92	X4-1x402.xml	2	432	832	100	47	53	0.5485062355001471	> p = 0.05	632.0	0.2119815668202765	0.47
93	X4-1x402.xml	2	434	834	100	47	53	0.5485062355001471	> p = 0.05	634.0	0.21428571428571427	0.47
94	X4-1x402.xml	2	436	836	100	48	52	0.6891565167793516	> p = 0.05	636.0	0.21658986175115208	0.48
95	X4-1x402.xml	2	438	838	100	48	52	0.6891565167793516	> p = 0.05	638.0	0.21889400921658986	0.48
96	X4-1x402.xml	2	440	840	100	48	52	0.6891565167793516	> p = 0.05	640.0	0.22119815668202766	0.48
97	X4-1x402.xml	2	442	842	101	48	53	0.6188233932543242	> p = 0.05	642.0	0.22350230414746544	0.4752475247524752
98	X4-1x402.xml	2	444	844	100	48	52	0.6891565167793516	> p = 0.05	644.0	0.22580645161290322	0.48
99	X4-1x402.xml	2	446	846	100	48	52	0.6891565167793516	> p = 0.05	646.0	0.22811059907834103	0.48
100	X4-1x402.xml	2	448	848	100	48	52	0.6891565167793516	> p = 0.05	648.0	0.2304147465437788	0.48
101	X4-1x402.xml	2	450	850	99	46	53	0.48172771631662636	> p = 0.05	650.0	0.23271889400921658	0.46464646464646464
102	X4-1x402.xml	2	452	852	100	47	53	0.5485062355001471	> p = 0.05	652.0	0.2350230414746544	0.47
103	X4-1x402.xml	2	454	854	101	48	53	0.6188233932543242	> p = 0.05	654.0	0.23732718894009217	0.4752475247524752
104	X4-1x402.xml	2	456	856	102	49	53	0.6920614909359382	> p = 0.05	656.0	0.23963133640552994	0.4803921568627451
105	X4-1x402.xml	2	458	858	101	48	53	0.6188233932543242	> p = 0.05	658.0	0.24193548387096775	0.4752475247524752
106	X4-1x402.xml	2	460	860	100	48	52	0.6891565167793516	> p = 0.05	660.0	0.24423963133640553	0.48
